 firename, lat, lon, startdate, response_type,size_km2,status
 R90693, 59.1218, -128.562, 2025-06-20 16:12:00, MOD,8.4,Under control
 2025CA008, 62.6179, -137.584, 2025-06-22 03:33:00, MON,99,Out of control
 2025MA021, 63.889, -136.026, 2025-06-25 00:30:00, MON,13,Out of control
 FS024-25, 60.0062, -121.863, 2025-07-10 17:00:00, MON,55,Out of control
 2025MA022, 64.0047, -135.242, 2025-06-25 23:10:00, MON,55,Out of control
 G80320, 58.3694, -121.011, 2025-05-12 02:07:00, FUL,75.8,Under control
 G80396, 58.0248, -121.689, 2025-05-27 22:23:00, FUL,18.9,Under control
 G80402, 58.4176, -121.146, 2025-05-28 00:22:00, FUL,41.4,Under control
 G80426, 58.3728, -120.712, 2025-05-29 06:29:00, MOD,16.6,Under control
 G80473, 57.5005, -120.558, 2025-06-02 21:53:00, FUL,85.5,Under control
 G80476, 57.9937, -120.389, 2025-06-02 22:20:00, FUL,31,Under control
 2025MA006, 63.4806, -136.564, 2025-06-18 22:59:00, MON,130,Held
 RED_FIRE_012, 52.6561, -94.071, 2025-05-28 18:35:00, MON,1969.7,Out of control
 FS014-25, 61.7081, -120.936, 2025-06-27 21:35:00, FUL,203.6,Out of control
 FS007-25, 63.3833, -123.333, 2025-06-15 23:30:00, MON,47,Out of control
 G90216, 59.344, -122.178, 2025-05-02 20:35:00, FUL,2804.6,Out of control
 NO206, 54.3664, -93.5739, 2025-08-11 05:00:00, MON,4,Out of control
 FS009-25, 60.2073, -122.782, 2025-06-17 18:25:00, MOD,1100,Out of control
 FS022-25, 63.4878, -123.126, 2025-07-08 19:14:00, MON,134.1,Out of control
 2025MA019, 63.421, -136.159, 2025-06-22 22:00:00, MON,12,Held
 LWF-132-2025, 54.7723, -110.211, 2025-07-09 19:53:00, FUL,44.7,Under control
 FS021-25, 61.1, -121.917, 2025-07-07 22:30:00, MON,26,Out of control
 HWF-036-2025, 58.5362, -118.863, 2025-05-29 20:00:00, FUL,526.7,Under control
 NO202, 54.3878, -94.8247, 2025-08-11 05:00:00, MON,1,Out of control
 NO203, 54.3042, -95.0847, 2025-08-11 05:00:00, MON,1,Out of control
 K60922, 49.1431, -120.504, 2025-07-12 20:48:00, MOD,31.4,Under control
 NO205, 54.1778, -95.2928, 2025-08-11 05:00:00, MON,1,Out of control
 RED_FIRE_019, 53.4123, -93.8296, 2025-06-12 22:29:00, MOD,429.5,Out of control
 RED_FIRE_020, 54.3505, -92.7299, 2025-06-14 22:50:00, MON,39.8,Out of control
 G80352, 57.4485, -123.182, 2025-05-20 00:11:00, FUL,1495.1,Under control
 G80497, 56.479, -120.263, 2025-06-04 20:19:00, FUL,42.1,Under control
 RED_FIRE_062, 51.507, -93.8566, 2025-07-02 20:54:00, MOD,337.4,Under control
 RED_FIRE_022, 52.9245, -94.8958, 2025-06-17 21:38:00, MON,201.8,Out of control
 2025DA007, 64.21, -138.694, 2025-06-18 22:15:00, MON,125,Under control
 G41285, 53.8852, -124.655, 2025-08-02 01:49:00, FUL,4,Under control
 C11164, 53.0434, -123.531, 2025-07-31 19:32:00, FUL,8.8,Under control
 G90881, 59.5482, -124.086, 2025-07-08 22:48:00, FUL,2.4,Held
 V71145, 49.2951, -124.605, 2025-07-31 08:06:00, FUL,5.9,Under control
 NO208, 54.7897, -96.8683, 2025-08-16 05:00:00, MON,0.2,Out of control
 LWF-172-2025, 54.5435, -111.689, 2025-07-30 20:10:00, FUL,0.4,Under control
 LWF-150-2025, 55.5608, -112.794, 2025-07-21 14:05:00, FUL,6.6,Under control
 2025PA4, 54.3558, -106.142, 2025-07-01 01:36:00, FUL,127.4,Held
 C51503, 52.4081, -125.65, 2025-08-12 20:22:00, FUL,0.6,Under control
 G51181, 54.7618, -125.391, 2025-07-31 21:27:00, FUL,0.3,Under control
 PWF-044-2025, 56.9877, -116.508, 2025-05-28 21:20:00, FUL,522.9,Under control
 NO002, 56.9142, -100.937, 2025-05-07 05:00:00, FUL,856.9,Under control
 FS037-25, 60.3527, -122.951, 2025-08-04 02:00:00, FUL,0,Under control
 FS035-25, 60.6108, -121.541, 2025-07-30 20:46:00, FUL,19,Out of control
 FS030-25, 60.3612, -122.868, 2025-07-28 21:30:00, FUL,0,Out of control
 FS018-25, 60.5668, -121.038, 2025-07-01 18:53:00, FUL,6.2,Held
 FS015-25, 61.3018, -121.879, 2025-06-29 18:00:00, FUL,0.2,Under control
 WE017, 55.0097, -101.325, 2025-05-21 05:00:00, FUL,3719,Under control
 2025BC004, 62.5755, -140.818, 2025-06-21 19:39:00, MON,60,Out of control
 2025HJ008, 61.2082, -137.458, 2025-06-22 23:26:00, MON,5,Out of control
 2025HJ005, 61.3381, -137.555, 2025-06-21 23:09:00, MON,15,Out of control
 EA105, 52.7944, -96.2736, 2025-07-31 05:00:00, MON,7.3,Out of control
 EA106, 52.5803, -96.6161, 2025-07-31 05:00:00, MON,0.4,Out of control
 G41250, 53.8702, -124.774, 2025-08-01 19:16:00, FUL,3.7,Under control
 2025RR005, 61.7577, -131.004, 2025-06-22 00:06:00, MON,15.1,Out of control
 NO061, 55.8925, -97.8347, 2025-07-04 05:00:00, FUL,225.2,Under control
 RED_FIRE_101, 50.951, -95.1419, 2025-07-13 19:54:00, MOD,104.5,Under control
 RED_FIRE_099, 52.2752, -94.0472, 2025-07-13 15:56:00, MOD,306,Under control
 NO042, 56.675, -101.254, 2025-06-30 05:00:00, FUL,217.3,Under control
 2025XY021, 61.5103, -134.884, 2025-08-28 18:17:00, MON,0,Out of control
 FS041-25, 61.0878, -123.119, 2025-08-29 17:00:00, FUL,0,Out of control
 G90413, 58.7368, -124.592, 2025-05-29 00:11:00, FUL,808.4,Held
 NO210, 58.9728, -100.175, 2025-08-29 05:00:00, MON,28.6,Out of control
 NO023, 56.0956, -101.55, 2025-06-26 05:00:00, MON,253,Out of control
 NO189, 58.6522, -101.717, 2025-08-03 05:00:00, MON,0.5,Out of control
 NO194, 58.8464, -100.328, 2025-08-04 05:00:00, MON,8,Out of control
 NO195, 58.9481, -99.825, 2025-08-04 05:00:00, MON,10,Out of control
 PWF-050-2025, 57.4203, -117.639, 2025-06-02 19:50:00, FUL,211.6,Under control
 234, 47.8254, -53.1411, 2025-08-03 00:00:00, FUL,101,Under control
 SWF-089-2025, 56.7056, -114.336, 2025-05-27 20:50:00, FUL,123.8,Held
 SWF-095-2025, 56.5912, -114.585, 2025-05-29 01:06:00, FUL,13.8,Under control
 SWF-100-2025, 56.6925, -115.037, 2025-05-30 00:32:00, FUL,179.5,Held
 2025WB18, 59.0988, -112.062, 2025-08-27 18:56:46, FUL,0,Held
 2025BC007, 62.6619, -140.279, 2025-07-19 21:50:00, MON,2.8,Out of control
 SS032-25, 61.6293, -109.041, 2025-08-25 16:14:00, MON,67.3,Out of control
 SS029-25, 61.1945, -109.212, 2025-08-07 21:15:00, MON,301.2,Out of control
 NO067, 56.0542, -94.5839, 2025-07-04 05:00:00, MON,210.2,Out of control
 NO124, 56.8944, -95.9506, 2025-07-11 05:00:00, MON,170.1,Out of control
 2025DA012, 64.1628, -139.674, 2025-06-19 21:15:00, MON,37.1,Under control
 2025MA014, 63.5697, -135.69, 2025-06-21 22:29:00, MON,0,Under control
 NO100, 56.0094, -94.0058, 2025-07-09 05:00:00, MON,91.5,Out of control
 EA086, 52.7394, -95.7553, 2025-07-02 05:00:00, MOD,109.5,Under control
 N51353, 49.2866, -117.812, 2025-08-03 22:59:00, FUL,1.8,Under control
 ZF024-25, 62.289, -112.976, 2025-07-01 22:13:00, MOD,748.8,Out of control
